id,question,level,,,,
1, About what proportion of the population of the US is living on farms?,1,,,,
2, Correctly label the brain lobes indicated on the diagram below,1,,,,
3, Define compound interest,1,,,,
4, Define four types of traceability,1,,,,
5, Define mercantilism,1,,,,
6," Define stream bank, floodplain and substrate",1,,,,
7, Define the meaning of the Olympic Motto,1,,,,
8, Draw and label a diagram of a typical stream,1,,,,
9, Draw the basic outline of a page of notes using the Cornell Method?,1,,,,
10, Draw the block diagram of the central processing unit,1,,,,
11, Draw the flow chart of the PNK system,1,,,,
12, How many instructions in the instruction set of RISC computer?,1,,,,
13, How many kilometers from your home to the university,1,,,,
14, How many loop statement available in c++?,1,,,,
15, How many states are there in USA,1,,,,
16, How many years does this animal live?,1,,,,
17, How much data can be stored in the cach memory,1,,,,
18, How much did he pay for his car,1,,,,
19, How much is your weight,1,,,,
20, How much time did he took to build a house,1,,,,
21, How much water does an elephant drink,1,,,,
22, Identify a phrase as a simile,1,,,,
23," Identify a property (commutative, additive, etc(",1,,,,
24, Identify fractions from a pictorial representation,1,,,,
25, Identify ordinal positions,1,,,,
26, Identify the correct definition of osmosis,1,,,,
27, Identify the five major prophets of the Old Testament,1,,,,
28, Identify the part of a eukaryotic cell,1,,,,
29, Identify the standard peripheral components of a computer,1,,,,
30, Identify which word begins with the same sound as the s in sun (Knowledge of letter s),1,,,,
31, in which continent does the state of suriname fall,1,,,,
32, in which countries is arabic language spoken,1,,,,
33, In Which part of the world does he live,1,,,,
34, Label any Olympic sporting apparatus with design features,1,,,,
35, Label the parts of the following insects: Grasshopper,1,,,,
36,  Label the parts of the microscope shown on the right,1,,,,
37, List four types of clauses mentioned in the article,1,,,,
38, List reserved words in C programming,1,,,,
39, List the characteristics peculiar to the Cubist movement,1,,,,
40, List the levels in Bloom's Taxonomy,1,,,,
41, List the procedure to draw a mixed potential or Evans' diagram,1,,,,
42, List the steps involved in titration,1,,,,
43, List three characteristics that are unique to the Cubist movement,1,,,,
44, List three predominant economic systems that exist,1,,,,
45, Look at the symbol,1,,,,
46, Make a list of facts you learned from the story,1,,,,
47, Name 5 steps that follow the taking of notes (within 24 hours or less)?,1,,,,
48, Name the artist who painted the Mona Lisa,1,,,,
49, Name the food groups and at least two items of food in each group,1,,,,
50, Name the four major food groups,1,,,,
51, Name the main characters in the story,1,,,,
52, Name the property that states that,1,,,,
53, Please label the diagram below:,1,,,,
54, Recall basic math facts,1,,,,
55, Recall locations of a historical events,1,,,,
56, Recall the definition of the formula datatype from your assignment 2,1,,,,
57, Recall the equation for the Ideal Gas Law,1,,,,
58, Recall the following pictoral example of an implementation of some queue operations,1,,,,
59, recall the supply voltage constraints,1,,,,
60, Recite a policy of immigration in Europe ,1,,,,
61," Recite the poem ""Auto Wreck""",1,,,,
62, Recite the principles of the Data Protection Act,1,,,,
63, Recite the the Gaussian law,1,,,,
64, State four attributes of well engineered software,1,,,,
65, State how to find a word in a dictionary,1,,,,
66, State the characteristics of each type of corrosion testing studied,1,,,,
67, State the definition of application in Bloom's Taxonomy,1,,,,
68, State the formula for the area of a circle,1,,,,
69, State the guidelines to design an anodic protection system,1,,,,
70, State the pattern for expressing time in French,1,,,,
71, State the rule for balls and strikes in baseball,1,,,,
72, State the rule for using a semicolon in a sentence,1,,,,
73, What are major facts about particular cultures and societies,1,,,,
74, What are the major products and exports of countries,1,,,,
75, What are the representational symbols on maps and charts,1,,,,
76, What are the structure or functions of Congress,1,,,,
77, What are the units of corrosion penetration rates? Relate these to Faraday's law,1,,,,
78, What does ICT stands for,1,,,,
79, What is  your family name,1,,,,
80, What is a global variable?,1,,,,
81, What is a textual index,1,,,,
82, What is the setting of To Kill a Mockingbird?,1,,,,
83, What is the title of the first movie you saw,1,,,,
84, What season are we in right now?,1,,,,
85, when did saudi arabia start using internet,1,,,,
86, when did the first saudi radio station open,1,,,,
87, When did the second world war happen,1,,,,
88, When did you born ?,1,,,,
89, when was the first airport in the yemen built,1,,,,
90, when was the UN formed,1,,,,
91, Which of the following is the method for determining the volume of a cylinder?,1,,,,
92, Which of the following item does not belong to the set ?,1,,,,
93, Which of the two liquids is hypotonic,1,,,,
94, which part of a data packet is used by a router to determine the destination network,1,,,,
95, Which technology is used by laser printer,1,,,,
96, Who is the first president   of USA,1,,,,
97, who is the founder of the kingdom of saudi Arabia,1,,,,
98, who was the first man on the moon,1,,,,
99, who was the first to compose in the arts of makamat,1,,,,
100, Who was the writer of the Hamilton,1,,,,
101, Compare Calliope with Howie,2,,,,
102, Compare historical events to contemporary situations,2,,,,
103, Complete an analogy (analogy tasks are inference tasks),2,,,,
104, Describe 4 types of coupling in software design,2,,,,
105, Describe how Phillip and Timothy survived on the Cay,2,,,,
106, Describe in prose what is shown in graph form,2,,,,
107, Describe in your own words how to borrow a book from the library,2,,,,
108, Describe in your own words how to copy text from one program into another,2,,,,
109, Describe in your own words what happens when a stream's velocity slows,2,,,,
110, Describe in your own words what is meant by a sprained ankle,2,,,,
111, Describe nuclear transport to a lay person,2,,,,
112, Describe the Pareto Principle in statistical software quality assurance,2,,,,
113, Describe what goes in each of the four areas on the first page of notes,2,,,,
114, Describe what took place as the Hato was sinking,2,,,,
115, Describe how the linear polarization method can yield corrosion rates,2,,,,
116, Describe the major clinical differences between visceral and somatic pain,2,,,,
117, Briefly describe the author's approach to the liabilities of the GOTO statement,2,,,,
118, Describe what happened at,2,,,,
119, Determine the author's point of view,2,,,,
120, Determine the next number in a sequence,2,,,,
121, Discuss the nature of socialism,2,,,,
122, Explain how Timothy saved Phillip's life,2,,,,
123, Explain in one's own words how to create a query in a database,2,,,,
124, Explain in your own words what a recessive gene is,2,,,,
125, Explain in your own words what do you mean by the term economics?,2,,,,
126, Explain in your own words what is meant by mercantilism,2,,,,
127, Explain the causes of historical events,2,,,,
128, Explain the communicative property,2,,,,
129," Explain the double meaning the author attributes to the term ""successive action descriptions""",2,,,,
130, Explain the possible uses described in class for the space to the left of the vertical line,2,,,,
131, Explain the process (paraphrase) for finding the perimeter of a rectangular garden,2,,,,
132, Explain what a poem means,2,,,,
133," Explain what the author means by the statement ""our intellectual powers are geared to master static relations",2,,,,
134, Express your opinion of 'Drugs in Sport' through poetry,2,,,,
135, From a blueprint to describe the article depicted,2,,,,
136," Given a graph of production trends in automobiles, describe what the graph represents in a memo to your boss",2,,,,
137," Given these five corrosion inhibitors, V, W, X, Y, Z, identify which are passivators",2,,,,
138," Illustrate this caption: ""Olympic as a Media Event in the Information Society""",2,,,,
139, Illustrate what you think the main idea was,2,,,,
140, In one sentence explain the main idea of a written passage,2,,,,
141, In one sentence illustrate the main point of a written passage,2,,,,
142, Interpret the pictures,2,,,,
143, Outline in your own words how the Leggo's Tomato Paste advertisement sells their product,2,,,,
144, Outline the most important insight of the tale,2,,,,
145, Outline the mechanisms employed by bacteria allowing them to evade phagocytic destruction,2,,,,
146," Outline an ""attack plan"" that will allow you to test your hypothesis using computational molecular modeling tools",2,,,,
147, Paraphrase an important speech,2,,,,
148, Paraphrase what Hamlet is saying in his soliloquy,2,,,,
149, Paraphrase the poem in your own words,2,,,,
150," Paraphrase this poem about Sheik Schubli, explaining what he was saying about the characteristics of a friend",2,,,,
151, Describe the output of this program fragment:,2,,,,
152, Classify types of corrosion inhibitors,2,,,,
153,  would you classify the zener diode in this circuit as a series voltage regulator or a shunt voltage regulator,2,,,,
154," Classify the following protocols: IP, TCP, HTTP according to the ISO OSI classification",2,,,,
155," Classify the following substances as particle, atom, element, molecule, compound",2,,,,
156, How would you classify the geographic location of your school,2,,,,
157, Classify animals into two groups,2,,,,
158, Classify celebrations into family and community categories,2,,,,
159, Classify frogs toads and other amphibians,2,,,,
160, Restate main idea of story in own words,2,,,,
161, Restate the Olympic motto in your own words,2,,,,
162, Retell the story in your words,2,,,,
163, Rewrite the principles of test writing,2,,,,
164, Rewrite you predicted equation for the ideal gas law,2,,,,
165, Rewrite the markov matrix to account for this slight change,2,,,,
166," Rewrite the sentence in your head, following the direction given below",2,,,,
167, Rewrite a part in the poem using a different speaker,2,,,,
168, Select the best title for a passage,2,,,,
169, State in your own words the rule for balls and strikes in baseball,2,,,,
170, State in your own words where in the library to find previous issues of journals that are no longer in the display racks,2,,,,
171, Can you state in your own words what the problem is asking you to do,2,,,,
172, State in your own words what the author means when he says,2,,,,
173, Summarize a historical document,2,,,,
174, Summarize a story in own words,2,,,,
175, Summarize Jem's beliefs about Boo Radley,2,,,,
176, Summarize the basic tenets of collaborative conservation,2,,,,
177, Summarize the basic tenets of deconstructionism,2,,,,
178, Summarize this magazine article,2,,,,
179, Tell how Phillip kept himself alive after Timothy died,2,,,,
180, Tell in your own words how the setting of the story made it more interesting,2,,,,
181, Tell in your own words the beginning of the book,2,,,,
182," In your own words, tell what is meant by the definition of an isosceles triangle",2,,,,
183," In your own words, how would you define transferable skills",2,,,,
184, Translate a written text aloud from L2 to English,2,,,,
185, Translate an equation into a computer spreadsheet,2,,,,
186, Translate an equation into a spreadsheet formula,2,,,,
187, Translate the following passage from The Iliad into English,2,,,,
188, Use the E-pH or Pourbaix diagram of Cr to determine the control current and potential for the anodic protection of a S43000 stainless steel vessel,2,,,,
189,"  Compare and contrast two treatments of either drapery or animals by Greek sculptors, establishing their artistic contexts",2,,,,
190,"  Briefly compare this way of testing the satisfiability of to the more standard way using SLD Resolution, as in Prolog",2,,,,
191,  How would you compare SAS with the Visual Basic Application and SPSS for the processing and analysis of mainframe data,2,,,,
192,   Describe and compare the role of Islamic law in the legal systems of Malaysia and Pakistan,2,,,,
193, Express the rule in function notation,2,,,,
194, Express the following systems in matrix form,2,,,,
195, Express the following percentages as fractions in simplest form,2,,,,
196, Explain the whole method of crushing,2,,,,
197," In your own words, how would you summarize the story up",2,,,,
198, Summarize the main point of these two texts in your own words,2,,,,
199, Outline the aim of two studies within the,2,,,,
200,  Outline your experience in working with service users,2,,,,
201, Apply laws of statistics to evaluate the reliability of a written test,3,,,,
202, Apply shading to produce depth in drawing,3,,,,
203, Apply the rule of law to a new situation,3,,,,
204, Apply the storytelling technique here to a little story of your own,3,,,,
205, Apply your understanding the Olympic spirit to develop a new motto or slogan,3,,,,
206, Show the value of x after running this program fragment,3,,,,
207, Calculate for x in the following equation: 12x=36,3,,,,
208, Calculate the deflection of a beam under uniform loading,3,,,,
209, Calculate the number of sacrificial anodes that would be required to form a calcareous deposit on a steel pile immersed in seawater,3,,,,
210, Calculate the rate of habitat fragmentation within the Colorado Front Range in the last decade,3,,,,
211, Can you apply the method used to some experience of your own ,3,,,,
212, Can you group by characteristics such as ,3,,,,
213, Categorise the pictures and add them to the wall display,3,,,,
214, Choose a country that does not compete at the Olympics and explain why that country is not an Olympic member,3,,,,
215, Choose any U,3,,,,
216, Compute the area of actual circles,3,,,,
217, Compute the volume of a cylinder,3,,,,
218, Construct a model to demonstrate how it will work,3,,,,
219, Demonstrate how the seasons occur,3,,,,
220, Demonstrate how this could work in an industry setting?,3,,,,
221, Demonstrate using the OPAC and your knowledge of library organization to find a book about turtles,3,,,,
222, Demonstrate how your unit's specific student learning outcomes are linked to the mission of UAM,3,,,,
223, Derive a kinetic model from experimental data,3,,,,
224, Describe an experiment to answer the question of the effects of weight on the fall of an object,3, ,,,
225, Construct a market strategy for your product using a known strategy as a model,3, ,,,
226, Construct a simple payroll program that computes net pay for those working 40 hours or less and net pay for those working over 40 hours,3,,,,
227, Draw a picture of the bears' house,3,,,,
228, Draw a picture of the gown Cinderella wore to the ball,3,,,,
229," From the information given, can you develop a set of instructions about ",3,,,,
230, How could someone modify the Cornell Method to make it effective for researching a topic for a paper?,3,,,,
231, How might lifestyles in the United States be modified if a more socialistic system were adopted?,3,,,,
232," If notes are available on the professor's website, how should those notes be used?",3,,,,
233," In a teaching simulation with your peers role-playing 6th grade students, demonstrate the principle of reinforcement in classroom interactions and prepare a half page description of what happened during the simulation that validated the principle",3,,,,
234, Make a diorama to illustrate an important event,3,,,,
235, Make a paper-mache map to include relevant information about an event,3,,,,
236, Make a scrapbook about the areas of study,3,,,,
237, Make up a puzzle game using the ideas from the study area,3,,,,
238, Model an Olympic Village for the new Millenium,3,,,,
239, Participate in a mock election,3,,,,
240, Predict what happens to X if Y increases,3,,,,
241, Pretend you are one of the characters in the book,3,,,,
242, Relate the principle of reinforcement to classroom interactions,3,,,,
243, Relate topographic map to field features,3, ,,,
244, Relate your most powerful story where your use of technology in the classroom has yielded a significant outcome with a student or students,3,,,,
245, How would you relate position concept with position strategy,3,,,,
246," Show, through role-play, the final scene in the novel",3,,,,
247, Solve a math problem using familiar procedure or formula,3,,,,
248, Solve for the ten following fraction multiplication problems,3,,,,
249, Would you solve these two problems using similar approaches,3,,,,
250, Use Laplace to solve the following problems,3,,,,
251, Can you solve the following problem,3,,,,
252, How to specify the impact energy and impact test temperature of the material in the Code,3,,,,
253, Specify the thickness of a galvanized coating based on atmospheric data? (level 2),3,,,,
254, Specify the thickness of a galvanized coating based on atmospheric data? (level 2),3,,,,
255, How does one specify the syntactical restrictions,3,,,,
256, Specify a deterministic finite automaton (DFA) recognizing the,3,,,,
257, Take a collection of photographs to demonstrate a particular point,3,,,,
258, Use a costing model to compute prices on goods to maximise profits and minimise costs,3,,,,
259, Use a manual to calculate an employee's vacation time,3,,,,
260, Use the distance travelled and cost of petrol to calculate the cost of a coach trip using a spreadsheet,3,,,,
261, Use the rule for a semicolon in a sentence,3,,,,
262, What factors would you change if ,3,,,,
263, What questions would you ask if ,3,,,,
264, Who can use what we know about sonnets and finish this poem?,3,,,,
265, Would this information be useful if you had a ,3,,,,
266,  Sketch a prediction of the field lines for the arrangement of electrodes shown in Figure 2,3,,,,
267, Sketch the blackbody curves for radiation emitted from the Sun and the Earth,3,,,,
268, Sketch a typical absorption process in a packed column with regeneration in form of,3,,,,
269,  sketch a graph of velocity versus time for the upward and downward parts of a ball's flight,3,,,,
270, How do teenagers use code in emails and instant messages?,3,,,,
271,  Use the second-derivative test to determine whether critical points where f0(x) = 0 yield relative maxima or relative minima,3,,,,
272,   Use the unification algorithm to determine whether the following two terms are uni_able,3,,,,
273, Use tableau methods to prove that the following tableau is valid,3,,,,
274, Use a sketch too find the exact value of each expression,3,,,,
275, Use Gauss' Law to find the electric field between the plates when the charge on them is Q,3,,,,
276,  What happens if you restrict a determinental process to a subset R  S?,3, ,,,
277, What would happen if the rainfall doubled in your state next year,3, ,,,
278, What happens if you change the direction of the displacement (but not its size)?,3,,,,
279, What would you do if a heavy growth of bacteria had occurred,3, ,,,
280, What would result if ,3,,,,
281, What approach would you use to prove the truth of the below statement,3,,,,
282,  Construct one Turing Machine for computing each of the following functions,3,,,,
283, Construct a Venn diagram to determine the validity of the given argument,3,,,,
284, Construct a dictionary and a truth table to determine if the following statements are logically equivalent,3,,,,
285," How can we construct H given I, B and E?",3,,,,
286,  Construct a family of networks to demonstrate that the number of different mincuts in a network can be exponential in the size of the network,3,,,,
287,  How do you construct foliations on a given manifold M?,3,,,,
288, How to Construct the Optimal Maintenance Problem,3,,,,
289, How to construct simple solutions when problems are complex?,3,,,,
290, Construct the 4-Bit Ripple carry Adder Circuit,3,,,,
291, Construct an analog circuit with the following specifications,3,,,,
292, Construct the Data Path of the RISC Processor given in the previous question,3,,,,
293, How do we construct agents that can deliver,3,,,,
294, How to construct the selected information system,3,,,,
295, Show how they have used creative writing strategies appropriate to the format,3,,,,
296, Show how to modify Fitch's algorithm given in class today to accommodate non-binary,3,,,,
297, Show how E-CRM can be used to improve marketing positioning as explained in the article,3,,,,
298, How would you show your understanding of the ABC process,3,,,,
299, Show me how you would check the brake lights are working on this car,3,,,,
300, Analyze safe and dangerous aspects of these features,4,,,,
301, Analyze the characteristics of frogs,4,,,,
302, Analyze the movements and sounds of a frog,4,,,,
303," Analyze the problem, identifying its variables",4,,,,
304, Break down the components of a standard film camera and explain how they interact to make the machine work,4,,,,
305, Break down the main actions of the story,4,,,,
306," By comparing the map of the tectonic plates to the earthquake map, what inferences can you make?",4,,,,
307, Can you compare your ,4,,,,
308, Can you distinguish between ,4,,,,
309, Can you explain what must have happened when ,4,,,,
310, Can you find four different feelings Pa Lia had during the story?,4,,,,
311, Compare and contrast animals that the class has made,4,,,,
312, Compare and contrast our school to other communities,4,,,,
313," Compare and contrast preview questions, clarifying questions and anticipated exam questions, including how each relates to the notetaking process?",4,,,,
314, Compare and contrast the waterfall model with the prototyping model,4,,,,
315, Compare and contrast two characters in the book,4,,,,
316, Compare fall and spring,4,,,,
317, Compare herbatious and carnivorous animals on a Venn diagram,4,,,,
318, Compare how different children come to school,4,,,,
319, Compare the place where the story happened with where you live,4,,,,
